n00001740	entity
n04613696	yurt
n03776460	mobile home, manufactured home
n02980441	castle
n02843684	birdhouse
n03877845	palace
n03781244	monastery
n03638321	landing, landing place
n03216828	dock, dockage, docking facility
n02735688	area
n03899768	patio, terrace
n02825657	bell cote, bell cot
n04105068	roof
n03220513	dome
n04417672	thatch, thatched roof
n04435653	tile roof
n04523525	vault
n04296562	stage
n04388743	tank, storage tank
n04078574	reservoir
n04562935	water tower
n04091097	rig
n03240683	drilling platform, offshore rig
dummy67	dummy67
n03388043	fountain
dummy72	dummy72
n04217882	signboard, sign
n04149813	scoreboard
n06794110	street sign
n06874185	traffic light, traffic signal, stoplight
dummy73	dummy73
n02898711	bridge, span
n04311004	steel arch bridge
n04366367	suspension bridge
n04532670	viaduct
dummy74	dummy74
n03733281	maze, labyrinth
dummy77	dummy77
n03743902	memorial, monument
n02892201	brass, memorial tablet, plaque
n03743016	megalith, megalithic structure
n04486054	triumphal arch
dummy78	dummy78
n03074380	column, pillar
n03837869	obelisk
n04458633	totem pole
n03903868	pedestal, plinth, footstall
n02796623	barrier
n02788148	bannister, banister, balustrade, balusters, handrail
n02894605	breakwater, groin, groyne, mole, bulwark, seawall, jetty
n03160309	dam, dike, dyke
n03327234	fence, fencing
n03000134	chainlink fence
n03930313	picket fence, paling
n04326547	stone wall
n04046974	rail fence
n04604644	worm fence, snake fence, snake-rail fence, Virginia fence
n03427296	gate
n04501370	turnstile
n09287968	geological formation, formation
n09433442	shore
n09332890	lakeside, lakeshore
n09428293	seashore, coast, seacoast, sea-coast
n09443453	spring, fountain, outflow, outpouring, natural spring
n09288635	geyser
dummy68	dummy68
n09246464	cliff, drop, drop-off
n09214060	bar
n09421951	sandbar, sand bar
n09359803	mountain, mount
n09193705	alp
n09472597	volcano
dummy69	dummy69
n09399592	promontory, headland, head, foreland
n09406793	reef
n09256479	coral reef
dummy71	dummy71
n09468604	valley, vale
dummy63	paraphernalia
n02729837	appliance
n03251766	dryer, drier
n03483316	hand blower, blow dryer, blow drier, hair dryer, hair drier
n03528263	home appliance, household appliance
n03584829	iron, smoothing iron
n04179913	sewing machine
n04517823	vacuum, vacuum cleaner
n03320046	fan
n03271574	electric fan, blower
n04265275	space heater
n04330267	stove
n03649909	lawn mower, mower
n03101156	cooker
n03133878	Crock Pot
n03207941	dishwasher, dish washer, dishwashing machine
n04070727	refrigerator, icebox
n04554684	washer, automatic washer, washing machine
n03761084	microwave, microwave oven
n04442312	toaster
n04542943	waffle iron
n03063338	coffee maker
n03297495	espresso maker
n04111531	rotisserie
n03294048	equipment
n03278248	electronic equipment
n02979186	cassette player
n02988304	CD player
n03777754	modem
n03782006	monitor
n03857828	oscilloscope, scope, cathode-ray oscilloscope, CRO
n04392985	tape player
n04401088	telephone, phone, telephone set
n03187595	dial telephone, dial phone
n03902125	pay-phone, pay-station
n02992529	cellular telephone, cellular phone, cellphone, cell, mobile phone
n02757462	audio system, sound system
n03584254	iPod
n03691459	loudspeaker, speaker, speaker unit, loudspeaker system, speaker system
n04404412	television, television system
n04041544	radio, wireless
n03759954	microphone, mike
n03924679	photocopier
n04009552	projector
n03529860	home theater, home theatre
n03196324	digital computer
n03180011	desktop computer
n03485407	hand-held computer, hand-held microcomputer
n03642806	laptop, laptop computer
n03832673	notebook, notebook computer
n04004767	printer
n03211117	display, video display
n04152593	screen, CRT screen
n03085013	computer keyboard, keypad
n03602883	joystick
n03793489	mouse, computer mouse
n04074963	remote control, remote
n04285146	sports equipment
n04571292	weight, free weight, exercising weight
n02790996	barbell
n03255030	dumbbell
n03472232	gymnastic apparatus, exerciser
n02777292	balance beam, beam
n03535780	horizontal bar, high bar
n03888605	parallel bars, bars
n02778669	ball
n02799071	baseball
n02802426	basketball
n03134739	croquet ball
n03445777	golf ball
n03942813	ping-pong ball
n04023962	punching bag, punch bag, punching ball, punchball
n04118538	rugby ball
n04254680	soccer ball
n04409515	tennis ball
n04540053	volleyball
n04039381	racket, racquet
n04228054	ski
n04251144	snorkel
n03926148	photographic equipment
n02942699	camera, photographic camera
n03976467	Polaroid camera, Polaroid Land camera
n04069434	reflex camera
n04485082	tripod
n03657121	lens cap, lens cover
n03574816	instrument
n03733925	measuring instrument, measuring system, measuring device
n03735637	measuring stick, measure, measuring rod
n04118776	rule, ruler
n03753077	meter
n03841143	odometer, hodometer, mileometer, milometer
n04437953	timepiece, timekeeper, horologe
n04355338	sundial
n04438304	timer
n03891332	parking meter
n04328186	stopwatch, stop watch
n03046257	clock
n02708093	analog clock
n03196217	digital clock
n04548280	wall clock
n04555897	watch, ticker
n03197337	digital watch
n04134632	sandglass
n03544143	hourglass
n02794156	barometer
n04141975	scale, weighing machine
n03080497	compass
n03706229	magnetic compass
n04147495	scientific instrument
n02666196	abacus
n04403638	telescope, scope
n04044716	radio telescope, radio reflector
n03760671	microscope
n03484931	hand glass, simple microscope, magnifying glass
n03692522	loupe, jeweler's loupe
n02841315	binoculars, field glasses, opera glasses
n03800933	musical instrument, instrument
n03614532	keyboard instrument
n02672831	accordion, piano accordion, squeeze box
n03854065	organ, pipe organ
n03928116	piano, pianoforte, forte-piano
n03452741	grand piano, grand
n04515003	upright, upright piano
n03915437	percussion instrument, percussive instrument
n03017168	chime, bell, gong
n03249569	drum, membranophone, tympan
n03447721	gong, tam-tam
n03720891	maraca
n03721384	marimba, xylophone
n04311174	steel drum
n04338517	stringed instrument
n02787622	banjo
n03467517	guitar
n02676566	acoustic guitar
n03272010	electric guitar
n03495258	harp
n02992211	cello, violoncello
n04536866	violin, fiddle
n04586932	wind instrument, wind
n03840681	ocarina, sweet potato
n03945615	pipe
n03884397	panpipe, pandean pipe, syrinx
n03494278	harmonica, mouth organ, harp, mouth harp
n03372029	flute, transverse flute
n02804610	bassoon
n03838899	oboe, hautboy, hautbois
n04141076	sax, saxophone
n03110669	cornet, horn, trumpet, trump
n03394916	French horn, horn
n04487394	trombone
n04451818	tool
n03967562	plow, plough
n03876231	paintbrush
n03906997	pen
n02783161	ballpoint, ballpoint pen, ballpen, Biro
n03388183	fountain pen
n04033901	quill, quill pen
n03294833	eraser
n04116512	rubber eraser, rubber, pencil eraser
n04185071	sharpener
n03908714	pencil sharpener
n04153751	screw
n03804744	nail
n03940256	pin
n04127249	safety pin
n03682487	lock
n03075370	combination lock
n03874599	padlock
n04067472	reel
n03666591	lighter, light, igniter, ignitor
n04456115	torch
n03481172	hammer
n03970156	plunger, plumber's helper
n04154565	screwdriver
n04208210	shovel
n02966687	carpenter's kit, tool kit
n03995372	power drill
n03000684	chain saw, chainsaw
n03739693	medical instrument
n04317175	stethoscope
n04376876	syringe
n04565375	weapon, arm, weapon system
n02879718	bow
n03773504	missile
n04008634	projectile, missile
n02950826	cannon
n03343853	firearm, piece, small-arm
n04090263	rifle
n03948459	pistol, handgun, side arm, shooting iron
n04086273	revolver, six-gun, six-shooter
n02760429	automatic firearm, automatic gun, automatic weapon
n02749479	assault rifle, assault gun
n03621049	kitchen utensil
n03848348	opener
n02951585	can opener, tin opener
n02877962	bottle opener
n03109150	corkscrew, bottle screw
n03961711	plate rack
n04476259	tray
n03062245	cocktail shaker
n04131690	saltshaker, salt shaker
n03990474	pot
n02939185	caldron, cauldron
n03063689	coffeepot
n04398044	teapot
n03259280	Dutch oven
n03880531	pan, cooking pan
n03400231	frying pan, frypan, skillet
n04596742	wok
n04270147	spatula
n03633091	ladle
n03623556	knife
n03041632	cleaver, meat cleaver, chopper
n03733805	measuring cup
n04381994	tableware
n02880940	bowl
n03775546	mixing bowl
n04263257	soup bowl
n07579787	plate
n04284002	spoon
n04597913	wooden spoon
n03797390	mug
n03063599	coffee mug
n03438257	glass, drinking glass
n02823750	beer glass
n03443371	goblet
n02876657	bottle
n02823428	beer bottle
n03983396	pop bottle, soda bottle
n04557648	water bottle
n04591713	wine bottle
n03603722	jug
n04560804	water jug
n04579145	whiskey jug
n00004258	living thing, animate thing
n00015388	animal, animate being, beast, brute, creature, fauna
n01767661	arthropod
n01768244	trilobite
n01784675	centipede
n01769347	arachnid, arachnoid
n01770081	harvestman, daddy longlegs, Phalangium opilio
n01770393	scorpion
n01776192	acarine
n01776313	tick
n01772222	spider
n01773157	black and gold garden spider, Argiope aurantia
n01773549	barn spider, Araneus cavaticus
n01773797	garden spider, Aranea diademata
n01774384	black widow, Latrodectus mactans
n01774750	tarantula
n01775062	wolf spider, hunting spider
n01974773	crustacean
n01985128	crayfish, crawfish, crawdad, crawdaddy
n01986214	hermit crab
n01982650	lobster
n01984695	spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish
n01983048	true lobster
n01983481	American lobster, Northern lobster, Maine lobster, Homarus americanus
n01976957	crab
n01978287	Dungeness crab, Cancer magister
n01978455	rock crab, Cancer irroratus
n01980166	fiddler crab
n01981276	king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica
n01990800	isopod
n02159955	insect
n02164464	beetle
n02165105	tiger beetle
n02165456	ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle
n02167151	ground beetle, carabid beetle
n02168699	long-horned beetle, longicorn, longicorn beetle
n02169497	leaf beetle, chrysomelid
n02177972	weevil
n02171869	scarabaeid beetle, scarabaeid, scarabaean
n02172182	dung beetle
n02174001	rhinoceros beetle
n02256656	cicada, cicala
n02259212	leafhopper
n02226429	grasshopper, hopper
n02229544	cricket
n02274259	butterfly
n02277742	ringlet, ringlet butterfly
n02281406	sulphur butterfly, sulfur butterfly
n02281787	lycaenid, lycaenid butterfly
n02280458	pierid, pierid butterfly
n02280649	cabbage butterfly
n02274822	nymphalid, nymphalid butterfly, brush-footed butterfly, four-footed butterfly
n02276258	admiral
n02279637	danaid, danaid butterfly
n02279972	monarch, monarch butterfly, milkweed butterfly, Danaus plexippus
n02233338	cockroach, roach
n02236044	mantis, mantid
n02206856	bee
n02219486	ant, emmet, pismire
n02264363	lacewing, lacewing fly
n02190166	fly
n02231487	walking stick, walkingstick, stick insect
n02268443	dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk
n02268853	damselfly
n02316707	echinoderm
dummy11	dummy11
n02317335	starfish, sea star
dummy12	dummy12
n02321529	sea cucumber, holothurian
dummy13	dummy13
n02319095	sea urchin
n01940736	mollusk, mollusc, shellfish
n01955084	chiton, coat-of-mail shell, sea cradle, polyplacophore
n01942177	gastropod, univalve
n01943899	conch
n01944390	snail
n01945685	slug
n01950731	sea slug, nudibranch
n01968315	cephalopod, cephalopod mollusk
n01968897	chambered nautilus, pearly nautilus, nautilus
n01909422	coelenterate, cnidarian
n01914163	anthozoan, actinozoan
n01914609	sea anemone, anemone
n01915811	coral
n01917289	brain coral
dummy10	dummy10
n01910747	jellyfish
n01922303	worm
dummy14	dummy14
n01924916	flatworm, platyhelminth
dummy15	dummy15
n01930112	nematode, nematode worm, roundworm
n01861778	mammal, mammalian
n01871875	monotreme, egg-laying mammal
n01872401	echidna, spiny anteater, anteater
n01873310	platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus
n02453611	edentate
n02454379	armadillo
n02456962	sloth, tree sloth
n02457408	three-toed sloth, ai, Bradypus tridactylus
n02329401	rodent, gnawer
n02342885	hamster
n02346627	porcupine, hedgehog
n02361337	marmot
n02363005	beaver
n02355227	squirrel
n02356798	fox squirrel, eastern fox squirrel, Sciurus niger
n02364673	guinea pig, Cavia cobaya
n02062017	aquatic mammal
n02073250	sea cow, sirenian mammal, sirenian
n02074367	dugong, Dugong dugon
n02062744	whale
n02066245	grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus
n02071294	killer whale, killer, orca, grampus, sea wolf, Orcinus orca
n02076196	seal
n02077923	sea lion
n02503127	proboscidean, proboscidian
n02503517	elephant
n02504013	Indian elephant, Elephas maximus
n02504458	African elephant, Loxodonta africana
n02469914	primate
n02496913	lemur
n02497673	Madagascar cat, ring-tailed lemur, Lemur catta
n02500267	indri, indris, Indri indri, Indri brevicaudatus
n02484322	monkey
n02490219	marmoset
n02492035	capuchin, ringtail, Cebus capucinus
n02492660	howler monkey, howler
n02493509	titi, titi monkey
n02493793	spider monkey, Ateles geoffroyi
n02494079	squirrel monkey, Saimiri sciureus
n02484975	guenon, guenon monkey
n02486261	patas, hussar monkey, Erythrocebus patas
n02486410	baboon
n02487347	macaque
n02488291	langur
n02488702	colobus, colobus monkey
n02489166	proboscis monkey, Nasalis larvatus
n02470325	ape
n02480495	orangutan, orang, orangutang, Pongo pygmaeus
n02480855	gorilla, Gorilla gorilla
n02481823	chimpanzee, chimp, Pan troglodytes
n02483362	gibbon, Hylobates lar
n02483708	siamang, Hylobates syndactylus, Symphalangus syndactylus
n02323449	lagomorph, gnawing mammal
n02326432	hare
n02324045	rabbit, coney, cony
n02325366	wood rabbit, cottontail, cottontail rabbit
n02328150	Angora, Angora rabbit
n02370806	ungulate, hoofed mammal
n02398521	hippopotamus, hippo, river horse, Hippopotamus amphibius
n02437616	llama
n02437136	camel
n02437312	Arabian camel, dromedary, Camelus dromedarius
n02395406	hog, pig, grunter, squealer, Sus scrofa
n02396427	wild boar, boar, Sus scrofa
n02397096	warthog
n02391049	zebra
n02374451	horse, Equus caballus
n02389026	sorrel
n02410509	bison
n02419796	antelope
n02422106	hartebeest
n02422699	impala, Aepyceros melampus
n02423022	gazelle
n02411705	sheep
n02412080	ram, tup
n02407959	Old World buffalo, buffalo
n02408429	water buffalo, water ox, Asiatic buffalo, Bubalus bubalis
n02414578	wild sheep
n02415435	mountain sheep
n02415577	bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
n02416519	goat, caprine animal
n02417914	ibex, Capra ibex
n02402425	cattle, cows, kine, oxen, Bos taurus
n02403003	ox
n02075296	carnivore
n02131653	bear
n02132136	brown bear, bruin, Ursus arctos
n02133161	American black bear, black bear, Ursus americanus, Euarctos americanus
n02134084	ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
n02134418	sloth bear, Melursus ursinus, Ursus ursinus
n02128385	leopard, Panthera pardus
n02128757	snow leopard, ounce, Panthera uncia
n02128925	jaguar, panther, Panthera onca, Felis onca
n02129165	lion, king of beasts, Panthera leo
n02129604	tiger, Panthera tigris
n02130308	cheetah, chetah, Acinonyx jubatus
n02441942	weasel
n02442845	mink
n02443114	polecat, fitch, foulmart, foumart, Mustela putorius
n02443484	black-footed ferret, ferret, Mustela nigripes
n02444819	otter
n02445715	skunk, polecat, wood pussy
n02447366	badger
n02137549	mongoose
n02138441	meerkat, mierkat
n02509815	lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens
n02510455	giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca
n02121808	domestic cat, house cat, Felis domesticus, Felis catus
n02123045	tabby, tabby cat
n02123159	tiger cat
n02123394	Persian cat
n02123597	Siamese cat, Siamese
n02124075	Egyptian cat
n02125311	cougar, puma, catamount, mountain lion, painter, panther, Felis concolor
n02127052	lynx, catamount
n02117135	hyena, hyaena
n02114100	wolf
n02114367	timber wolf, grey wolf, gray wolf, Canis lupus
n02114548	white wolf, Arctic wolf, Canis lupus tundrarum
n02114712	red wolf, maned wolf, Canis rufus, Canis niger
n02114855	coyote, prairie wolf, brush wolf, Canis latrans
n02118333	fox
n02119022	red fox, Vulpes vulpes
n02119789	kit fox, Vulpes macrotis
n02120079	Arctic fox, white fox, Alopex lagopus
n02120505	grey fox, gray fox, Urocyon cinereoargenteus
n02084071	dog, domestic dog, Canis familiaris
n02110341	dalmatian, coach dog, carriage dog
n02110806	basenji
n02110958	pug, pug-dog
n02111129	Leonberg
n02111277	Newfoundland, Newfoundland dog
n02111500	Great Pyrenees
n02113978	Mexican hairless
n02113335	poodle, poodle dog
n02113624	toy poodle
n02113712	miniature poodle
n02113799	standard poodle
n02112826	corgi, Welsh corgi
n02113023	Pembroke, Pembroke Welsh corgi
n02113186	Cardigan, Cardigan Welsh corgi
n02112497	griffon, Brussels griffon, Belgian griffon
n02112706	Brabancon griffon
n02111889	Samoyed, Samoyede
n02112018	Pomeranian
n02112137	chow, chow chow
n02112350	keeshond
n02108089	boxer
